task_key,task_title,window,eligible,rank,score,suitability,enbw_bins,peak_sidelobe_db,main_lobe_width_bins,scalloping_loss_db,synthesis_gain_span_db,far_tail_max_db,far_tail_suppression_db
weak_near_strong,Hunt a weak spur beside a strong line,nuttall-min4-bh,True,1,0.343418,0.656582,1.9915165961465244,-96.8264355230464,8.12548828125,0.8374369889317639,1.0228873739421285,-98.3479353632046,98.3479353632046
weak_near_strong,Hunt a weak spur beside a strong line,nuttall-continuous,True,2,0.375146,0.624854,2.0370234578176727,-93.32878288681215,8.0625,0.7991701516468558,1.1863604454263732,-117.32851665503817,117.32851665503817
weak_near_strong,Hunt a weak spur beside a strong line,blackman-harris,True,3,0.382636,0.617364,2.0200066670005885,-92.04956667905991,8.0625,0.8127833430614497,1.1163282607841256,-116.87938900432201,116.87938900432201
weak_near_strong,Hunt a weak spur beside a strong line,kaiser-8.6,True,4,0.495253,0.504747,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425,0.19594520317493677,-89.94546606881384,89.94546606881384
weak_near_strong,Hunt a weak spur beside a strong line,blackman,True,5,0.540102,0.459898,1.740247661564626,-58.12294866970683,6.046875,1.0817746311954988,0.2005073831653953,-100.79583944297869,100.79583944297869
weak_near_strong,Hunt a weak spur beside a strong line,hamming,True,6,0.543262,0.456738,1.3704714490961944,-42.62424236261918,4.09423828125,1.7338698333027787,0.0017486899731499622,-53.79828779315176,53.79828779315176
weak_near_strong,Hunt a weak spur beside a strong line,hann,True,7,0.648355,0.351645,1.51171875,-31.475497828114108,4.03125,1.4012715444114454,0.006333738171461491,-93.35747611727018,93.35747611727018
weak_near_strong,Hunt a weak spur beside a strong line,rectangular,True,8,0.65,0.35,1.0,-13.2670925532188,2.015625,3.922182893250383,0.0,-37.205406758755515,37.205406758755515
weak_near_strong,Hunt a weak spur beside a strong line,flattop,False,9,10.0,0.0,3.7998174877405715,-91.33495279728977,10.2041015625,0.009125678278112163,8.308542040713618,-92.70377023303949,92.70377023303949
weak_far_strong,Hunt a weak farther-out spur under a strong line,nuttall-continuous,True,1,0.186007,0.813993,2.0370234578176727,-93.32878288681215,8.0625,0.7991701516468558,1.1863604454263732,-117.32851665503817,117.32851665503817
weak_far_strong,Hunt a weak farther-out spur under a strong line,blackman-harris,True,2,0.201762,0.798238,2.0200066670005885,-92.04956667905991,8.0625,0.8127833430614497,1.1163282607841256,-116.87938900432201,116.87938900432201
weak_far_strong,Hunt a weak farther-out spur under a strong line,blackman,True,3,0.727142,0.272858,1.740247661564626,-58.12294866970683,6.046875,1.0817746311954988,0.2005073831653953,-100.79583944297869,100.79583944297869
weak_far_strong,Hunt a weak farther-out spur under a strong line,nuttall-min4-bh,True,4,0.887733,0.112267,1.9915165961465244,-96.8264355230464,8.12548828125,0.8374369889317639,1.0228873739421285,-98.3479353632046,98.3479353632046
weak_far_strong,Hunt a weak farther-out spur under a strong line,flattop,False,5,10.0,0.0,3.7998174877405715,-91.33495279728977,10.2041015625,0.009125678278112163,8.308542040713618,-92.70377023303949,92.70377023303949
weak_far_strong,Hunt a weak farther-out spur under a strong line,kaiser-8.6,False,6,10.0,0.0,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425,0.19594520317493677,-89.94546606881384,89.94546606881384
weak_far_strong,Hunt a weak farther-out spur under a strong line,hamming,False,7,10.0,0.0,1.3704714490961944,-42.62424236261918,4.09423828125,1.7338698333027787,0.0017486899731499622,-53.79828779315176,53.79828779315176
weak_far_strong,Hunt a weak farther-out spur under a strong line,hann,False,8,10.0,0.0,1.51171875,-31.475497828114108,4.03125,1.4012715444114454,0.006333738171461491,-93.35747611727018,93.35747611727018
weak_far_strong,Hunt a weak farther-out spur under a strong line,rectangular,False,9,10.0,0.0,1.0,-13.2670925532188,2.015625,3.922182893250383,0.0,-37.205406758755515,37.205406758755515
amplitude,Measure isolated-tone amplitude honestly,flattop,True,1,0.2,0.8,3.7998174877405715,-91.33495279728977,10.2041015625,0.009125678278112163,8.308542040713618,-92.70377023303949,92.70377023303949
amplitude,Measure isolated-tone amplitude honestly,nuttall-continuous,True,2,0.630892,0.369108,2.0370234578176727,-93.32878288681215,8.0625,0.7991701516468558,1.1863604454263732,-117.32851665503817,117.32851665503817
amplitude,Measure isolated-tone amplitude honestly,blackman-harris,True,3,0.639712,0.360288,2.0200066670005885,-92.04956667905991,8.0625,0.8127833430614497,1.1163282607841256,-116.87938900432201,116.87938900432201
amplitude,Measure isolated-tone amplitude honestly,nuttall-min4-bh,True,4,0.656577,0.343423,1.9915165961465244,-96.8264355230464,8.12548828125,0.8374369889317639,1.0228873739421285,-98.3479353632046,98.3479353632046
amplitude,Measure isolated-tone amplitude honestly,blackman,True,5,0.794895,0.205105,1.740247661564626,-58.12294866970683,6.046875,1.0817746311954988,0.2005073831653953,-100.79583944297869,100.79583944297869
amplitude,Measure isolated-tone amplitude honestly,kaiser-8.6,True,6,0.8,0.2,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425,0.19594520317493677,-89.94546606881384,89.94546606881384
amplitude,Measure isolated-tone amplitude honestly,hamming,False,7,10.0,0.0,1.3704714490961944,-42.62424236261918,4.09423828125,1.7338698333027787,0.0017486899731499622,-53.79828779315176,53.79828779315176
